City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Denpasar,75,ID,1611523464,94,-8.65,115.2167,78.8,1.14
Kapaa,1,US,1611523515,73,22.0752,-159.319,78.8,13.8
Nabire,100,ID,1611523435,90,-3.3667,135.4833,75.29,5.57
Mampong,0,GH,1611523739,26,7.0627,-1.4001,77.32,4.05
Novopokrovka,0,UA,1611523739,75,49.8425,36.5477,35.6,11.18
Cherskiy,100,RU,1611523536,86,68.75,161.3,-25.06,7.29
Albany,43,US,1611523294,41,42.6001,-73.9662,21.99,3.0
Cape Town,0,ZA,1611523353,55,-33.9258,18.4232,66.99,10.36
Hobart,0,AU,1611523442,40,-42.8794,147.3294,70.0,8.05
Tura,0,IN,1611523529,62,25.5198,90.2201,57.4,2.59
Pevek,100,RU,1611523527,89,69.7008,170.3133,-17.91,8.66
Rikitea,50,PF,1611523494,67,-23.1203,-134.9692,80.29,9.89
Thinadhoo,100,MV,1611523517,72,0.5333,72.9333,81.82,5.75
Punta Arenas,75,CL,1611523294,66,-53.15,-70.9167,53.6,23.02
Port Blair,57,IN,1611523328,69,11.6667,92.75,74.53,7.9
Busselton,0,AU,1611523501,95,-33.65,115.3333,51.01,4.88
Manavālakurichi,20,IN,1611523741,73,8.1333,77.3,78.8,12.77
Udachny,2,RU,1611523741,79,66.4167,112.4,-39.05,2.95
Akdepe,0,TM,1611523461,93,42.0551,59.3788,28.4,9.22
Ushuaia,40,AR,1611523487,54,-54.8,-68.3,57.2,18.41
Lorengau,100,PG,1611523519,70,-2.0226,147.2712,81.43,1.74
Karratha,4,AU,1611523542,39,-20.7377,116.8463,81.27,15.73
Zyryanka,100,RU,1611523741,85,65.75,150.85,-28.82,2.06
Jamestown,75,US,1611523265,58,42.097,-79.2353,27.0,3.44
Tasiilaq,7,GL,1611523496,57,65.6145,-37.6368,14.0,16.11
East London,90,ZA,1611523521,63,-33.0153,27.9116,68.92,8.99
Bāfq,0,IR,1611523742,57,31.6128,55.4107,38.08,0.67
Nanortalik,0,GL,1611523309,88,60.1432,-45.2371,21.13,12.44
Hilo,90,US,1611523392,69,19.7297,-155.09,77.0,5.75
Abalak,100,RU,1611523743,89,58.1286,68.5944,-17.9,9.75
Caucaia,20,BR,1611523743,78,-3.7361,-38.6531,82.4,8.05
Nome,90,US,1611523743,86,64.5011,-165.4064,15.8,8.05
Oksbøl,20,DK,1611523743,93,55.6268,8.2876,32.0,1.14
Tuktoyaktuk,90,CA,1611523507,77,69.4541,-133.0374,-7.6,6.91
Mataura,95,NZ,1611523499,85,-46.1927,168.8643,60.01,18.99
Chapais,90,CA,1611523554,78,49.7834,-74.8492,5.0,5.75
Juradó,95,CO,1611523744,74,7.1053,-77.7641,82.18,3.06
Batagay,94,RU,1611523744,74,67.6333,134.6333,-46.8,2.59
Asău,77,RO,1611523472,68,46.4333,26.4,33.01,2.19
Port Alfred,95,ZA,1611523497,90,-33.5906,26.891,64.99,1.01
Road Town,20,VG,1611523744,65,18.4167,-64.6167,80.6,5.75
Hermanus,27,ZA,1611523303,73,-34.4187,19.2345,66.0,3.0
Bethel,1,US,1611523497,24,41.3712,-73.414,30.2,12.66
Brae,20,GB,1611523494,93,60.3964,-1.353,33.8,4.61
Gunjur,0,GM,1611523745,46,13.2019,-16.7339,73.4,15.12
Vaini,75,TO,1611523495,78,-21.2,-175.2,80.6,4.61
Hayden,90,US,1611523684,80,47.766,-116.7866,28.0,9.22
Milton,45,US,1611523498,48,34.1322,-84.3007,59.0,1.99
Narsaq,0,GL,1611523514,31,60.9167,-46.05,26.6,36.82
Tsimmerbude,90,RU,1611523746,100,54.675,20.1347,34.0,6.71
Rosarito,75,MX,1611523746,62,32.3333,-117.0333,55.4,11.5
Qaanaaq,0,GL,1611523508,79,77.484,-69.3632,7.72,3.11
Lata,100,PT,1611523746,93,40.1629,-8.3327,55.99,1.99
Atuona,8,PF,1611523499,77,-9.8,-139.0333,78.12,14.32
Hamilton,90,US,1611523507,86,39.1834,-84.5333,33.8,4.07
Severo-Kuril'sk,100,RU,1611523520,95,50.6789,156.125,17.92,11.99
San Vicente,85,AR,1611523747,70,-26.6167,-54.1333,77.34,1.81
Saskylakh,3,RU,1611523329,79,71.9167,114.0833,-38.79,6.6
Barrow,1,US,1611523510,77,71.2906,-156.7887,-4.0,17.27
Bluff,98,NZ,1611523517,85,-46.6,168.3333,60.01,18.99
Yellowknife,75,CA,1611523408,77,62.456,-114.3525,-13.0,11.5
Aklavik,90,CA,1611523514,76,68.2191,-135.0107,-20.2,4.16
Hong Kong,89,HK,1611523332,76,22.2855,114.1577,64.0,18.7
Hambantota,92,LK,1611523494,80,6.1241,81.1185,74.32,14.03
Cândido Mendes,100,BR,1611523747,92,-1.4467,-45.7167,76.95,3.85
Castro,100,BR,1611523528,92,-24.7911,-50.0119,66.29,3.04
Fairbanks,97,US,1611523470,82,64.8378,-147.7164,10.0,2.26
New Norfolk,5,AU,1611523506,37,-42.7826,147.0587,73.0,1.01
Cidreira,4,BR,1611523511,80,-30.1811,-50.2056,78.44,12.12
Carnarvon,17,AU,1611523505,68,-24.8667,113.6333,71.6,11.5
Guayaquil,40,EC,1611523517,74,-2.1667,-79.9,84.99,6.91
Ocotal,99,NI,1611523749,68,13.6321,-86.4752,76.05,7.76
Ambon City,40,ID,1611523749,83,-3.6954,128.1814,78.8,10.36
Shimoda,81,JP,1611523337,91,34.6667,138.95,39.99,14.74
Korla,31,CN,1611523749,82,41.7597,86.1469,21.09,3.38
Port Hardy,90,CA,1611523536,93,50.6996,-127.4199,39.2,6.91
Srednekolymsk,100,RU,1611523516,84,67.45,153.6833,-28.59,8.59
Khāsh,0,IR,1611523749,61,28.2211,61.2158,33.8,3.53
Tarakan,75,ID,1611523749,94,3.3,117.6333,75.2,4.61
Avarua,40,CK,1611523295,79,-21.2078,-159.775,84.2,11.5
Ponta do Sol,0,PT,1611523500,75,32.6667,-17.1,60.01,1.99
Lebu,0,CL,1611523496,67,-37.6167,-73.65,59.54,17.98
Caravelas,100,BR,1611523521,75,-17.7125,-39.2481,78.84,7.56
Mount Gambier,90,AU,1611523518,43,-37.8333,140.7667,73.4,5.75
Bredasdorp,78,ZA,1611523323,68,-34.5322,20.0403,66.2,14.97
Kavaratti,9,IN,1611523516,77,10.5669,72.642,81.12,10.69
Khatanga,100,RU,1611523307,87,71.9667,102.5,-18.98,10.16
Ilulissat,0,GL,1611523302,38,69.2167,-51.1,17.6,8.05
Kiama,62,AU,1611523751,88,-34.6833,150.8667,78.01,11.99
Talnakh,85,RU,1611523324,74,69.4865,88.3972,-31.22,3.85
Saint Paul Harbor,1,US,1611523470,48,57.79,-152.4072,37.4,25.32
Namatanai,11,PG,1611523554,76,-3.6667,152.4333,80.74,3.04
San Patricio,90,US,1611523329,83,28.017,-97.5169,78.8,25.32
Jalingo,7,NG,1611523751,18,8.8833,11.3667,78.44,4.7
Porto Belo,40,BR,1611523751,89,-27.1578,-48.5531,78.8,9.22
Pangai,90,TO,1611523571,100,-19.8,-174.35,75.2,11.5
